Title,Read,Saga,Saga number,Wishlist,Author,Language,Cover,Images,Rating,Review,Annotations
Fantastic Beasts: The Crimes of Grindelwald,UNREAD,Fantastic beasts,2,OBTAINED,J.K. Rowling,ENG,,,,,
Fantastic Beasts: The Secrets of Dumbledore,UNREAD,Fantastic beasts,3,OBTAINED,J.K. Rowling,ENG,,,,,
The Blade Itself,UNREAD,First Law,1,OBTAINED,Joe Abercrombie,ENG,,,,,
Before They Are Hanged,UNREAD,First Law,2,OBTAINED,Joe Abercrombie,ENG,,,,,
Last Argument of Kings,UNREAD,First Law,3,OBTAINED,Joe Abercrombie,ENG,,,,,
A Little Hatred,UNREAD,Age of Madness,1,OBTAINED,Joe Abercrombie,ENG,,,,,
The Trouble with Peace,UNREAD,Age of Madness,2,OBTAINED,Joe Abercrombie,ENG,,,,,
The Wisdom of Crowds,UNREAD,Age of Madness,3,OBTAINED,Joe Abercrombie,ENG,,,,,
Los diablos,READ,,,OBTAINED,Joe Abercrombie,ES,,,,,
The Hobbit,UNREAD,Lord of the rings,2,OBTAINED,J.R.R. Tolkien,ENG,,,,,
The Fellowship of the Ring,UNREAD,Lord of the rings,3,OBTAINED,J.R.R. Tolkien,ENG,,,,,
The Two Towers,UNREAD,Lord of the rings,4,OBTAINED,J.R.R. Tolkien,ENG,,,,,
The Return of the King,UNREAD,Lord of the rings,5,OBTAINED,J.R.R. Tolkien,ENG,,,,,
El silmarillion,UNREAD,Lord of the rings,1,OBTAINED,J.R.R. Tolkien,ES,,,,,
Beren y Lúthien,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
La caída de Gondolin,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
La caída de Númenor,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
La balada de Beleriand,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
El libro de los cuentos perdidos 1,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
El libro de los cuentos perdidos 2,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
Las aventuras de Tom Bombadil  ,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
Finn y Hengest  ,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
La balada de Aotrou e Itroun,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
La batalla de Maldon y el regreso de Beorhtnoth  ,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
Cuentos inconclusos de Númenor y la Tierra Media,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
Los hijos de Húrin,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
Árbol y hoja,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
Cuentos desde el reino peligroso,UNREAD,,,OBTAINED,J.R.R. Tolkien,ES,,,,,
Volumen 1,UNREAD,,,OBTAINED,H.P.Lovecraft,ES,,,,,
Volumen 2,UNREAD,,,OBTAINED,H.P.Lovecraft,ES,,,,,
Volumen 3,UNREAD,,,OBTAINED,H.P.Lovecraft,ES,,,,,
Volumen 4,UNREAD,,,OBTAINED,H.P.Lovecraft,ES,,,,,
El necronomicón,UNREAD,,,OBTAINED,H.P.Lovecraft,ES,,,,,
The Eye of the World,READ,Wheel of time,1,OBTAINED,Robert Jordan,ENG,,,,,
The Great Hunt,READ,Wheel of time,2,OBTAINED,Robert Jordan,ENG,,,,,
The Dragon Reborn,READ,Wheel of time,3,OBTAINED,Robert Jordan,ENG,,,,,
The Shadow Rising,READ,Wheel of time,4,OBTAINED,Robert Jordan,ENG,,,,,
The Fires of Heaven,UNREAD,Wheel of time,5,OBTAINED,Robert Jordan,ENG,,,,,
Lord of Chaos,UNREAD,Wheel of time,6,OBTAINED,Robert Jordan,ENG,,,,,
A Crown of Swords,UNREAD,Wheel of time,7,OBTAINED,Robert Jordan,ENG,,,,,
The Path of Daggers,UNREAD,Wheel of time,8,OBTAINED,Robert Jordan,ENG,,,,,
Winter's Heart,UNREAD,Wheel of time,9,OBTAINED,Robert Jordan,ENG,,,,,
Crossroads of Twilight,UNREAD,Wheel of time,10,OBTAINED,Robert Jordan,ENG,,,,,
Knife of Dreams,UNREAD,Wheel of time,11,OBTAINED,Robert Jordan,ENG,,,,,
The Gathering Storm,UNREAD,Wheel of time,12,OBTAINED,Robert Jordan,ENG,,,,,
Towers of Midnight,UNREAD,Wheel of time,13,OBTAINED,Robert Jordan,ENG,,,,,
A Memory of Light,UNREAD,Wheel of time,14,OBTAINED,Robert Jordan,ENG,,,,,
New Spring,UNREAD,Wheel of time,15,OBTAINED,Robert Jordan,ENG,,,,,
El guerrero de los Altaii,UNREAD,,,OBTAINED,Robert Jordan,ENG,,,,,
The Portable Door,UNREAD,J. W. Wells & Co,1,OBTAINED,Tom Holt,ENG,,,,,
In Your Dreams,UNREAD,J. W. Wells & Co,2,OBTAINED,Tom Holt,ENG,,,,,
"Earth, Air, Fire and Custard",UNREAD,J. W. Wells & Co,3,OBTAINED,Tom Holt,ENG,,,,,
"You Don't Have to Be Evil to Work Here, But It Helps",UNREAD,J. W. Wells & Co,4,OBTAINED,Tom Holt,ENG,,,,,
The Better Mousetrap,UNREAD,J. W. Wells & Co,5,OBTAINED,Tom Holt,ENG,,,,,
May Contain Traces of Magic,UNREAD,J. W. Wells & Co,6,OBTAINED,Tom Holt,ENG,,,,,
La magia no se puede capitalizar,READ,Sangreverso,1,OBTAINED,Lucas Naranjo,ES,,,,,
"Una vez bandolera, siempre bandolera",UNREAD,Sangreverso,2,OBTAINED,Lucas Naranjo,ES,,,,,
Llueve en ciudad fuego,UNREAD,Sangreverso,3,OBTAINED,Lucas Naranjo,ES,,,,,
Sobre Hormigas y Dinosaurios,UNREAD,,,OBTAINED,Cixin Liu,ES,,,,,
El problema de los 3 cuerpos,UNREAD,Problema 3 Cuerpos,1,OBTAINED,Cixin Liu,ES,,,,,
El bosque oscuro,UNREAD,Problema 3 Cuerpos,2,OBTAINED,Cixin Liu,ES,,,,,
El fin de la muerte,UNREAD,Problema 3 Cuerpos,3,OBTAINED,Cixin Liu,ES,,,,,
El Gremio de los Magos,UNREAD,,,OBTAINED,Trudi Canavan,ES,,,,,
La aprendiz,UNREAD,,,OBTAINED,Trudi Canavan,ES,,,,,
La misión del embajador,UNREAD,,,OBTAINED,Trudi Canavan,ES,,,,,
El Imperio Final,UNREAD,Cosmere,1,OBTAINED,Brandon Sanderson,ES,,,,,
Trenza del Mar esmeralda,UNREAD,Cosmere,2,OBTAINED,Brandon Sanderson,ES,,,,,
La guía del mago frugal para sobrevivir en la inglaterra del medievo,UNREAD,,,OBTAINED,Brandon Sanderson,ES,,,,,
Reino mágico en venta,UNREAD,Reino Mágico de Landover,1,OBTAINED,Terry Brooks,ES,,,,,
El unicornio negro,UNREAD,Reino Mágico de Landover,2,OBTAINED,Terry Brooks,ES,,,,,
Mago en apuros,UNREAD,Reino Mágico de Landover,3,OBTAINED,Terry Brooks,ES,,,,,
1984,UNREAD,,,OBTAINED,George Orwell,ES,,,,,
Mi lucha,UNREAD,,,OBTAINED,Adolf Hitler,ES,,,,,
Tao Te King,UNREAD,,,OBTAINED,Lao Tsé,ES,,,,,
Leyendas,UNREAD,,,OBTAINED,Gustavo Adolfo Bécquer,ES,,,,,
Un mundo feliz,UNREAD,,,OBTAINED,Aldous Huxley,ES,,,,,
El arte de la guerra,UNREAD,,,OBTAINED,Sun Tzu,ES,,,,,
Cielo abajo,UNREAD,,,OBTAINED,Fernando Marías,ES,,,,,
El Kybalion,UNREAD,,,OBTAINED,Tres Iniciados,ES,,,,,
Cinco semanas en globo,UNREAD,,,OBTAINED,Julio Verne,ES,,,,,
La vuelta al mundo en 80 días,UNREAD,,,OBTAINED,Julio Verne,ES,,,,,
Viaje al centro de la tierra,UNREAD,,,OBTAINED,Julio Verne,ES,,,,,
20.000 leguas de viaje submarino,UNREAD,,,OBTAINED,Julio Verne,ES,,,,,
Don Quijote de la Mancha,UNREAD,,,OBTAINED,Miguel de Cervantes,ES,,,,,
Cien años de soledad,UNREAD,,,OBTAINED,Gabriel García Márquez,ES,,,,,
El libro de la selva,UNREAD,,,OBTAINED,Rudyard Kipling,ES,,,,,
2001: Una odisea espacial (saga completa),UNREAD,,,OBTAINED,Arthur C. Clarke,ES,,,,,
La isla del tesoro,UNREAD,,,OBTAINED,Robert Louis Stevenson,ES,,,,,
El mago de Oz,UNREAD,,,OBTAINED,L. Frank Baum,ES,,,,,
Drácula,UNREAD,,,OBTAINED,Bram Stoker,ES,,,,,
Cuentos,UNREAD,,,OBTAINED,Edgar Allan Poe,ES,,,,,
El fantasma de la ópera,UNREAD,,,OBTAINED,Gaston Leroux,ES,,,,,
Frankenstein,UNREAD,,,OBTAINED,Mary Shelley,ES,,,,,
Las mil y una noches,UNREAD,,,OBTAINED,Anónimo,ES,,,,,
La Ilíada,UNREAD,,,OBTAINED,Homero,ES,,,,,
La Odisea,UNREAD,,,OBTAINED,Homero,ES,,,,,
Hamlet,UNREAD,,,OBTAINED,William Shakespeare,ES,,,,,
El príncipe,UNREAD,,,OBTAINED,Nicolás Maquiavelo,ES,,,,,
La metamorfosis,UNREAD,,,OBTAINED,Franz Kafka,ES,,,,,
El retrato de Dorian Gray,UNREAD,,,OBTAINED,Oscar Wilde,ES,,,,,
El corazón de las tinieblas,UNREAD,,,OBTAINED,Joseph Conrad,ES,,,,,
La guerra de los mundos,UNREAD,,,OBTAINED,H. G. Wells,ES,,,,,
El vampiro,UNREAD,,,OBTAINED,John William Polidori,ES,,,,,
La vida de Lazarillo de Tormes,UNREAD,,,OBTAINED,Anónimo,ES,,,,,
El gran Gatsby,UNREAD,,,OBTAINED,F. Scott Fitzgerald,ES,,,,,
La Celestina,UNREAD,,,OBTAINED,Fernando de Rojas,ES,,,,,
Los miserables,UNREAD,,,OBTAINED,Victor Hugo,ES,,,,,
El extraño caso del Dr. Jekyll y Mr. Hyde,UNREAD,,,OBTAINED,Robert Louis Stevenson,ES,,,,,
Romeo y Julieta,UNREAD,,,OBTAINED,William Shakespeare,ES,,,,,
Rebelión en la granja,UNREAD,,,OBTAINED,George Orwell,ES,,,,,
Los viajes de Gulliver,UNREAD,,,OBTAINED,Jonathan Swift,ES,,,,,
El árbol de la ciencia,UNREAD,,,OBTAINED,Pío Baroja,ES,,,,,
La Regenta,UNREAD,,,OBTAINED,"Leopoldo Alas ""Clarín""",ES,,,,,
El conde Lucanor,UNREAD,,,OBTAINED,Don Juan Manuel,ES,,,,,
El hombre invisible,UNREAD,,,OBTAINED,H. G. Wells,ES,,,,,
Moby Dick,UNREAD,,,OBTAINED,Herman Melville,ES,,,,,
Los tres mosqueteros,UNREAD,,,OBTAINED,Alexandre Dumas,ES,,,,,
El fantasma de Canterville,UNREAD,,,OBTAINED,Oscar Wilde,ES,,,,,
El conde de Montecristo,UNREAD,,,OBTAINED,Alexandre Dumas,ES,,,,,
